,Investors,Primary Investor Type,Other Investor Types,# of Investment Professionals,HQ State/Province,HQ Country/Territory,HQ Global Region,HQ Global Sub Region,Investor Status,Last Updated Date,Ownership Status,Company Financing Status,Primary Industry Sector,Primary Industry Group,Primary Industry Code,All Industries,Verticals,Keywords,SIC Code Descriptions,SIC Group Descriptions,SIC Sector Descriptions,Revenue,Total Assets,Net Income,Enterprise Value,EBITDA,EBIT,Market Cap,Net Debt,Free Cash Flow,Investments,Exits,Active Portfolio,Investments in the last 7 days,Investments in the last 6 months,Investments in the last 12 months,Investments in the last 2 years,Investments in the last 5 years,Total Investments,Total Exits,Total Active Portfolio,Total Investments in the last 7 days,Total Investments in the last 6 months,Total Investments in the last 12 months,Total Investments in the last 2 years,Total Investments in the last 5 years,Last Investment Date,Last Investment Size,Last Investment Size Status,Last Investment Valuation,Last Investment Valuation Status,Last Investment Type,Last Investment Type 2,Last Investment Type 3,Last Investment Class,Last Investment Debt,Last Investment Debt Size,Last Investment Debt Date,Last Investment Status,AUM,Dry Powder,Trade Association,Total # of Hedge Funds,Total # of Credit,Total # of Equity,Total # of Macro,Total # of Event Driven,Total # of Relative Value,Total # of Risk Parity,Total # of Risk Premia,Total # of Fund of Funds,Total # of Other,Total Hedge Fund NAV,Total NAV Credit,Total NAV Equity,Total NAV Macro,Total NAV Event Driven,Total NAV Relative Value,Total NAV Risk Parity,Total NAV Risk Premia,Total NAV Fund of Funds,Total NAV Other,# Funds Open,# Funds Closed,# Funds Closed in the last 6 months,# Funds Closed in the last 12 months,# Funds Closed in the last 2 years,# Funds Closed in the last 5 years,Most Likely Fundraising,Min Fund Size,Max Fund Size,Median Fund Size,Total Funds Open,Total Funds Closed,Total Funds Closed in the last 6 months,Total Funds Closed in the last 12 months,Total Funds Closed in the last 2 years,Total Funds Closed in the last 5 years,Last Closed Fund Vintage,Last Closed Fund Size,Last Closed Fund Type,Last Closed Fund Close Date,Last Closed Fund Open Date,Preferred Industry,Preferred Verticals,Preferred Geography,Preferred Investment Types,Real Asset Preferences,Impact Category Preferences,Other Stated Preferences,Preferred Investment Amount,Preferred Investment Amount Min,Preferred Investment Amount Max,Preferred Deal Size,Preferred Deal Size Min,Preferred Deal Size Max,Preferred Company Valuation,Preferred Company Valuation Min,Preferred Company Valuation Max,Preferred EBITDA,Preferred EBITDA Min,Preferred EBITDA Max,Preferred EBIT,Preferred EBIT Min,Preferred EBIT Max,Preferred Revenue,Preferred Revenue Min,Preferred Revenue Max,Preferred Investment Horizon,Latest Note,Latest Note - Author,Median Quartile,Number of Funds,1 (Top Quartile),2 (Upper-Mid Quartile),3 (Lower-Mid Quartile),4 (Bottom Quartile),today,days_diff,Last Investment Delta,Last Investment Size filled,Recency Score,Frequency Score,Monetary Score,RFM Score,Segment,Recency,Frequency,Monetary
0,Investor 1,Angel (individual),,,New York,United States,Americas,North America,,14-Jun-23,,,,,,,,,,,,,,,,,,,,,1,,1.0,,,,1.0,1,1,,1.0,,,,1.0,1,1-Jun-22,5.54,Actual,17.78,Actual,Seed Round,Seed Round,,Venture Capital,,,1-Jun-22,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,"Media, Software",Gaming,,"Early Stage VC, Later Stage VC, Seed Round",,,"Prefers minority stake, Will syndicate",,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,416 days,416,5.54,2,1,3,213,Hibernating,416,1,5.54
1,Investor 2,Angel (individual),Limited Partner,,California,United States,Americas,North America,Actively Seeking New Investments,14-Jun-23,,,,,,,,,,,,,,,,,,,,,7,,7.0,,1.0,2.0,6.0,6,7,,7.0,,1.0,2.0,6.0,6,10-Jul-21,8.5,Actual,,,Seed Round,Seed Round,,Venture Capital,,,10-Jul-21,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,742 days,742,8.5,1,3,4,134,At Risk,742,7,8.5
2,Investor 3,Corporation,,,California,United States,Americas,North America,Actively Seeking New Investments,7-Jun-23,,,,,,,,,,,,,,,,,,,,,19,2.0,17.0,,2.0,4.0,9.0,18,19,2.0,17.0,,2.0,4.0,9.0,18,21-Jun-22,164.18,Actual,,,Later Stage VC,,,Venture Capital,,,21-Jun-22,Completed,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,Yes,,,,1.0,,,,,,2017.0,20.0,Venture Capital - Early Stage,31-Dec-17,5-Oct-17,,,,,,,,0.03 - 0.10,0.03,0.1,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,396 days,396,164.18,3,4,5,345,Loyal Investors,396,19,164.18
3,Investor 4,Venture Capital,,2.0,,Germany,Europe,Western Europe,Actively Seeking New Investments,28-Apr-23,,,,,,,,,,,,,,,,,,,,,52,2.0,38.0,,2.0,9.0,28.0,50,52,2.0,38.0,,2.0,9.0,28.0,50,16-Jan-23,46.0,Actual,,,Later Stage VC,Series B,,Venture Capital,,,16-Jan-23,Completed,600.0,293.24,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,,,1.0,5.0,Yes,53.3,210.53,100.25,1.0,5.0,,,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,187 days,187,46.0,4,5,5,455,Loyal Investors,187,52,46.0
4,Investor 5,Angel (individual),,,New York,United States,Americas,North America,Actively Seeking New Investments,14-Jun-23,,,,,,,,,,,,,,,,,,,,,1,,1.0,,,,1.0,1,1,,1.0,,,,1.0,1,31-Mar-23,,,,,PE Growth/Expansion,,,Private Equity,,,31-Mar-23,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,2021.0,,Venture - General,31-Dec-21,29-Sep-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,113 days,113,0.0,4,1,1,411,Promising,113,1,0.0
5,Investor 6,Venture Capital,,7.0,California,United States,Americas,North America,Actively Seeking New Investments,13-Jun-23,,,,,,,,,,,,,,,,,,,,,169,59.0,54.0,,3.0,6.0,25.0,85,169,59.0,54.0,,3.0,6.0,25.0,85,12-Jun-23,5.2,Actual,12.0,Actual,Seed Round,Seed Round,,Venture Capital,,,12-Jun-23,Completed,1355.0,45.08,National Venture Capital Association,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,6.0,,,1.0,1.0,Yes,117.75,600.0,382.0,1.0,6.0,,,1.0,1.0,,,,,,"Other Information Technology, Software","Big Data, Internet of Things",,"Angel (individual), Early Stage VC, Seed Round",,,"Prefers minority stake, Will syndicate",,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,40 days,40,5.2,5,5,3,553,Champions,40,169,5.2
6,Investor 7,Angel (individual),,,England,United Kingdom,Europe,Western Europe,Actively Seeking New Investments,15-Jun-23,,,,,,,,,,,,,,,,,,,,,5,1.0,4.0,,,1.0,3.0,4,5,1.0,4.0,,,1.0,3.0,4,17-Feb-22,6.97,Actual,31.97,Actual,Seed Round,Seed Round,,Venture Capital,,,17-Feb-22,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,"Artificial Intelligence & Machine Learning, Augmented Reality, Cryptocurrency/Blockchain, FinTech, Life Sciences, Oncology, Virtual Reality",,"Early Stage VC, Seed Round",,,"Prefers minority stake, Will syndicate",,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,520 days,520,6.97,2,2,3,223,Hibernating,520,5,6.97
7,Investor 8,Angel (individual),,,,,,,,14-Jun-23,,,,,,,,,,,,,,,,,,,,,3,,3.0,,,,2.0,3,3,,3.0,,,,2.0,3,7-Jun-23,13.56,Actual,72.81,Actual,Later Stage VC,Series A,,Venture Capital,,,7-Jun-23,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,2022.0,670.0,Venture - General,8-Apr-22,5-Apr-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,45 days,45,13.56,5,2,4,524,Potential Loyalists,45,3,13.56
8,Investor 9,Angel (individual),,1.0,,,,,,15-Jun-23,,,,,,,,,,,,,,,,,,,,,42,10.0,26.0,,3.0,4.0,15.0,30,42,10.0,26.0,,3.0,4.0,15.0,30,26-Jul-22,8.0,Actual,20.16,Actual,Seed Round,Seed Round,,Venture Capital,Other - $2.84M,2.84,26-Jul-22,Completed,9500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,2022.0,,Venture - General,31-Dec-22,26-Apr-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,361 days,361,8.0,3,5,4,354,Loyal Investors,361,42,8.0
9,Investor 10,Angel (individual),,,,Israel,Middle East,Middle East,Actively Seeking New Investments,22-Feb-22,,,,,,,,,,,,,,,,,,,,,10,,10.0,,,,2.0,9,10,,10.0,,,,2.0,9,17-May-22,10.1,Actual,80.1,Actual,Seed Round,Seed Round,,Venture Capital,,,17-May-22,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,Software,"3D Printing, Cybersecurity, SaaS, TMT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,431 days,431,10.1,2,3,4,234,At Risk,431,10,10.1
